330,p-103,end,101,3,3
331,p-104,end,101,3,4
337,p-103,end,102,3,3
344,p-103,end,102,3,2
348,p-103,end,102,2,3
381,p-104,end,101,4,3
387,p-104,end,101,3,4
411,p-104,end,101,3,4
419,p-103,end,102,4,3
427,p-103,end,102,5,3
436,p-103,end,102,3,3
446,p-103,end,102,2,2
454,p-103,end,102,2,3
455,p-103,end,101,1,2
465,p-104,end,103,2,3
487,p-104,end,103,5,2
492,p-103,end,102,3,3
513,p-104,end,103,5,4
516,p-103,p-104,101,2,3
524,p-104,end,103,5,3
533,p-103,end,102,3,4
549,p-103,p-104,101,3,3
562,p-104,end,101,2,3
568,p-104,end,103,2,3
576,p-104,end,101,3,4
601,p-103,p-104,101,1,3
607,p-104,end,103,4,3
616,p-103,p-104,101,2,4
617,p-103,end,102,4,4
626,p-104,end,103,3,4
630,p-103,end,101,2,4
631,p-103,end,102,3,3
647,p-103,p-104,101,4,2
649,p-104,end,103,1,4
658,p-104,end,101,3,2
682,p-103,end,102,2,3
691,p-104,end,103,4,3
692,p-103,p-104,101,4,3
692,p-103,end,102,4,3
696,p-103,end,101,3,2
697,p-104,end,103,2,3
698,p-104,end,103,3,3
709,p-104,end,103,3,3
731,p-104,end,101,3,3
765,p-103,p-104,101,2,3
771,p-103,end,102,3,3
777,p-104,end,103,3,3
780,p-103,end,102,4,4
791,p-103,end,102,4,4
807,p-104,end,101,2,2
816,p-104,end,103,3,4
827,p-104,end,103,3,3
840,p-104,end,101,5,3
854,p-104,end,101,1,4
858,p-104,end,101,3,4
859,p-104,end,103,4,4
861,p-103,end,102,2,3
868,p-104,end,103,3,2
869,p-103,end,102,4,3
877,p-103,p-104,101,4,3
899,p-104,end,101,3,3
902,p-103,end,102,3,2
902,p-104,end,103,4,3
902,p-104,end,103,3,3
910,p-103,end,102,4,3
911,p-103,end,102,3,3
952,p-103,end,102,3,3
953,p-104,end,101,4,4
972,p-104,end,101,2,3
972,p-103,end,102,5,3
984,p-104,end,101,2,3
1007,p-103,end,102,3,3
1012,p-103,end,102,3,2
1013,p-103,end,102,2,3
1032,p-104,end,101,6,3
1034,p-104,end,103,2,3
1036,p-103,end,102,7,3
1040,p-103,end,102,3,3
1052,p-103,end,102,3,4
1056,p-103,end,101,3,2
1057,p-104,end,103,2,3
1070,p-104,end,101,4,4
1071,p-103,end,101,2,3
1083,p-104,end,101,5,3
1113,p-103,end,102,3,4
1118,p-103,end,102,2,2
1124,p-103,p-104,101,2,2
1154,p-103,end,102,4,2
1163,p-104,end,101,2,3
1170,p-104,end,103,2,3
1190,p-103,end,102,3,4
1198,p-104,end,101,2,3
1198,p-103,end,102,3,3
1200,p-104,end,101,1,3
1216,p-103,end,102,4,4
1216,p-103,end,102,1,4
1221,p-103,end,101,2,3
1246,p-103,p-104,101,3,4
1247,p-103,end,102,2,4
1250,p-103,end,102,3,3
1251,p-104,end,103,3,2
1255,p-103,end,101,3,3
1281,p-103,end,101,4,4
1305,p-103,end,102,2,3
1321,p-104,end,101,3,3
1337,p-103,end,102,4,3
1347,p-103,p-104,101,2,4
1352,p-104,end,103,2,3
